Ano,Municipios_Alcancados,Pop_Coberta,Pct_Pop_SC
2023,103,5300575,69.64945552517155
2024,112,5446778,71.5705601876179
2025,103,5231288,68.73902565200258
2026,62,4290543,56.377654095515304
